runid,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
11,0.016429025189395496,0.025063158893944212,0.01581576890124917,0.02296874903707375,0.008958776929755939,0.04437684047454143,0.07444145418902653,0.020980791276680854,0.059379056545397935,0.04081693375097255,0.04080025776909797,0.03648280569646269,0.028845163684337427,0.014109397713000666,0.01621594251260716,0.021948466788631493,0.03352271742904192,0.01185103073196522,0.018600209100770662,0.13767294149098114,0.13576009555196586,0.13496902053758636
12,0.02658098378675424,0.0266536866541042,0.03295874254283229,0.03676659751305093,0.018473882252006347,0.035353874091508704,0.042291253376354476,0.028599887687234458,0.05189016013798547,0.03457232103159464,0.04514737746830472,0.031106391808236707,0.027473423708691255,0.024607554098241648,0.024375573159261307,0.018887194654909942,0.030835807391329618,0.018214402191704875,0.019420789468513704,0.12240758460255378,0.12781749892468794,0.12686313928049262
13,0.03126031048749281,0.02898467541440506,0.04577223613271155,0.03457514544414787,0.017429738747601734,0.03336495178472003,0.04129115574702213,0.03631508712629379,0.060729963423889546,0.0394749883941493,0.054316711226851805,0.03116120330250399,0.015398392470858826,0.03722210568410832,0.022205342243158937,0.020266760633842064,0.03898289495047528,0.033065011462464745,0.011721694806598335,0.12458699626118004,0.1280150718743152,0.12949867799311915
14,0.028023126387745734,0.03294393083060826,0.03964924607994762,0.035348142402340375,0.01999484938158115,0.047794083367299525,0.05634525369582684,0.029855235025964655,0.06517310439922795,0.04493405315730715,0.0679452754126743,0.03985626872537891,0.019619916172582817,0.03539151069938807,0.02319081099735908,0.0330498928016075,0.04816055078649741,0.023992673071001693,0.012966705979992096,0.13903948357554272,0.13997862707377048,0.1405192505710792
15,0.03351138730271517,0.018420097527314137,0.06574028150311366,0.027220145107636463,0.03068674537812587,0.032278333475739864,0.028437235199759527,0.035274934408735886,0.026839856319414455,0.01780915459216581,0.025857831909128402,0.019935856721100258,0.025899254732883382,0.025465005553532056,0.026550636311877998,0.024403986756131636,0.023353289165395124,0.020446614470921002,0.009826179550124582,0.053966567006049716,0.05224185928727687,0.05750598018985673
16,0.018605133864080258,0.025410562778950197,0.03769116611842076,0.03257491666029055,0.01204939942982995,0.01527886235683014,0.01619863977010364,0.027066675041205874,0.021074970353784854,0.009800850791692722,0.023346201536962714,0.00831235334286094,0.02950440223849935,0.01762931250828103,0.014831695087040984,0.013740627760470758,0.02371869439657289,0.01684657167586112,0.015522654021589614,0.05750771873000911,0.05151316338135626,0.057555874433061815
17,0.022143041740484072,0.026143981603446137,0.0240604962596398,0.025769909433446637,0.00899006736244193,0.04384840263811603,0.07700126861376828,0.019321708115058383,0.06525317357617845,0.04911916733330706,0.05823302153532765,0.04522994560645722,0.027088180518281876,0.026261385317865288,0.021964469110380067,0.030953128629472262,0.03891597254799813,0.01606141664452096,0.004408133521407382,0.13726774122285876,0.1384009904848892,0.14164063190705678
18,0.023126938900088323,0.017977612470473883,0.0451725073007423,0.03191259264686457,0.013055365647424733,0.028598883177917974,0.033001889443334875,0.024162614625695255,0.029722912931560305,0.01867350628944424,0.029480680477187774,0.016003001824696602,0.03247726212585413,0.022706674333436542,0.016425637856099417,0.008715810976348546,0.023323819896175192,0.013177354323710313,0.0201661142671969,0.08935651807645882,0.09641565985011014,0.08889520883542666
19,0.03012915841283786,0.018475348498131094,0.03805081082976805,0.029389303884426357,0.02384562671642874,0.019109683952657677,0.015769410285755008,0.03236241246007998,0.01955210274966725,0.00990085386873754,0.025969389913099813,0.00834856086340997,0.03306259988650281,0.018613929036906337,0.010699090397369557,0.009796702042851303,0.014617709353822393,0.01401258877932996,0.00658452699208981,0.059166950144162095,0.05681929685644815,0.05964647814519606
20,0.020600480783403253,0.04197540450117462,0.02586429989371533,0.03152772791887784,0.02408561534892707,0.04883904880059412,0.0636184366942207,0.051970199228127935,0.06807296522335951,0.054670115343871534,0.06626202721908554,0.05158703137455571,0.03316334697304374,0.04172849032814737,0.0350045559073518,0.04011656950805155,0.04119962496326951,0.03739703302199257,0.016235498051712382,0.14810569335355525,0.14789523148051498,0.14969502760795347
