runid,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
13,0.0407867058749231,0.027473398089018487,0.05099056048753012,0.03114057212244338,0.03480735677197042,0.03520774053592489,0.04349940871369377,0.02937625220851631,0.0583680120834381,0.036094508199411936,0.06916072820190891,0.03034180568569919,0.01581722156624017,0.05186312074362263,0.018876074910699873,0.03025986081158851,0.05056503387769995,0.01809151985185324,0.011244795477454099,0.13187535369972264,0.13412179689670745,0.1362226842116356
14,0.019107103419899456,0.026164582865460893,0.0262793421547443,0.02737428011831771,0.008664923246664862,0.04633884653221483,0.0656312476597969,0.023156862215302634,0.07048687343723453,0.04545527724408511,0.06584641565251761,0.040588555086452247,0.02851293641161975,0.048289267175623485,0.021306159175305376,0.035109246973931967,0.04751891266318566,0.017199482402475496,0.016188638591226615,0.14103277644365633,0.14086356146469764,0.1418031968788977
15,0.01139546977823048,0.025910614036700443,0.03834077464343183,0.018950288753393205,0.006261863938050163,0.021261109429227404,0.04536532233133744,0.037520754275971895,0.030754454007995216,0.01311580437169628,0.029103993112842053,0.014615618671573056,0.02722426937958219,0.030129484857954445,0.027076300118617988,0.026166073734051255,0.02717146613522046,0.015722117084237094,0.01449282098515605,0.06267879161680151,0.06305506246407867,0.07014267457500326
16,0.015548104199772586,0.018300916437253737,0.024679312935491686,0.024961995039658836,0.010578475370908488,0.03510414470210101,0.054402339492164095,0.042773787690700435,0.02341655024755286,0.016024127508256342,0.0206361252505018,0.017998356374015204,0.0356415191002408,0.030159447308999773,0.03529653393244499,0.019389377606681038,0.014194882023018569,0.009818100017905841,0.01975576626020444,0.07672418707957233,0.07574612107887999,0.08405392112772837
17,0.04874626538035115,0.03510908260273493,0.05459041314824651,0.03086448168492032,0.035237756329468996,0.05268122352932158,0.061093706711610345,0.03493750955571786,0.06279298322933666,0.046558908275696635,0.05720203030312472,0.040504094058654315,0.02163530047868459,0.024872895275849672,0.03417066729124261,0.030996891055684265,0.04073380161299966,0.032559903426772785,0.027601888202170004,0.14045565384244385,0.14110696583360902,0.14364482966709155
18,0.009516921644539102,0.01523882174525853,0.025572249589253592,0.021546029498469118,0.010440254557462314,0.034883241214675814,0.07177417007445538,0.03200394849032019,0.04565408379210036,0.025354772188644254,0.038115676498550716,0.019917483868396868,0.02999870312324847,0.018886120643271383,0.025702847576092962,0.016361282327264283,0.019813797474010117,0.012736471292969214,0.02041974865434742,0.13278859348143762,0.1291956548060713,0.12642752167475405
19,0.014381635842002005,0.023164137312402674,0.016896580917395876,0.02316076461000923,0.01033615829587412,0.029402709113620605,0.05581293038627975,0.03849047859262323,0.02855500474444594,0.01421403037436635,0.032808085337563735,0.014430424088624914,0.02538503682691946,0.01975600143438387,0.020744849852718246,0.014035508525460176,0.016012673993183804,0.017524945298163622,0.012024761626172503,0.06957873237618664,0.07354452876164361,0.087092824009697
20,0.010830000825565358,0.030666804991469357,0.040627872301524176,0.024363746480661877,0.006393314573813134,0.04921252306218433,0.07201199349308944,0.029580160010668398,0.07028593205717071,0.054095146227985336,0.06682517205445483,0.04957837717051822,0.03464776890657313,0.03891494370491404,0.027095447019385165,0.03421449831595534,0.04036721075540976,0.014665232997699139,0.014904453019053259,0.14346431259923442,0.14329731515345256,0.14507966468843542
21,0.027273668674942658,0.03173365256107754,0.05402609199624568,0.03286354236455024,0.027658262145851945,0.058975607695849454,0.061768517614423056,0.03183579917759334,0.0689946952112556,0.05428227762238686,0.06807206647812071,0.054047142230955476,0.030533588771033956,0.0425863582935742,0.03456571187212225,0.035156991426415464,0.042943452835262706,0.03933116310953557,0.010330325659090627,0.14647938593412882,0.14671875764161682,0.14854739210761872
22,0.03109954061697892,0.03132879662972814,0.05072664415009715,0.03171066901810035,0.03280824736423307,0.055246638293486326,0.06077227148318011,0.03401526416227058,0.06879153969208296,0.052398750343025394,0.0684355196577577,0.05235917132311725,0.03119681819334004,0.04187849245273289,0.031954210225634015,0.03373468892975988,0.04275261018857761,0.041169994492569154,0.009376805773197267,0.1465049958023771,0.14650128025783948,0.1482504240415733
